city,country,city_id,date,latitude,longitude,cloudiness,description,temperature,feels_like,temp_min,temp_max,humidity,visbility,windspeed
Yārāda,IN,1252783,1648790149,17.65,83.2667,40,haze,91.72,100.8,91.72,91.72,55,5000,12.66
Fukuechō,JP,1863997,1648790150,32.6881,128.8419,75,broken clouds,57.56,55.42,57.56,57.56,51,10000,18.41
Peterhead,GB,2640351,1648790150,57.5058,-1.7981,43,light snow,32.68,22.3,32.67,34.2,74,10000,15.48
St. Pete Beach,US,4171522,1648790151,27.7253,-82.7412,100,overcast clouds,75.6,76.39,71.01,77.13,75,10000,11.5
Berbera,SO,64435,1648790151,10.4396,45.0143,2,clear sky,80.19,83.52,80.19,80.19,72,10000,5.66
Vuktyl,RU,470905,1648790152,63.8567,57.3094,98,light snow,21.06,11.44,21.06,21.06,92,242,8.1
Vanavara,RU,2013727,1648790152,60.34,102.2797,100,overcast clouds,28.35,20.52,28.35,28.35,87,1268,7.81
Saint Anthony,US,5044290,1648790152,45.0205,-93.218,0,clear sky,25.95,21.81,22.87,29.89,77,10000,3.44
Georgiyevskoye,RU,561593,1648790153,58.731,45.024,66,broken clouds,23.79,23.79,23.79,23.79,83,10000,2.91
Morros,BR,3394372,1648790153,-9.4467,-46.3003,69,broken clouds,70.52,71.4,70.52,70.52,88,10000,4.5
Gari,RU,1506676,1648790154,59.4307,62.3497,100,overcast clouds,23.4,16.83,23.4,23.4,83,10000,5.14
Pecos,US,5528182,1648790154,31.4229,-103.4932,0,clear sky,56.08,52.38,55.49,60.3,21,10000,4.61
Khovd,MN,1516048,1648790154,48.0056,91.6419,9,clear sky,38.97,35.62,38.97,38.97,21,10000,4.56
Tanout,NE,2439155,1648790158,14.9709,8.8879,5,clear sky,71.35,68.41,71.35,71.35,5,10000,8.84
Būndi,IN,1275103,1648790158,25.4417,75.6417,0,clear sky,95.04,90.16,95.04,95.04,7,10000,5.3
Kieta,PG,2094027,1648790159,-6.2167,155.6333,100,heavy intensity rain,79.14,79.14,79.14,79.14,86,4068,1.1
Kuril'sk,RU,2123979,1648790159,45.2333,147.8833,100,overcast clouds,28.53,20.46,28.53,28.53,59,10000,8.23
Grand Baie,MU,934482,1648790160,-20.0182,57.5802,61,light rain,77.45,78.84,77.45,77.47,84,10000,7.0
Ilulissat,GL,3423146,1648790160,69.2167,-51.1,40,mist,15.82,10.24,15.82,15.82,86,3600,3.44
Nagato,JP,1899102,1648790160,34.3833,131.2,100,overcast clouds,50.67,47.79,50.67,50.67,50,10000,20.96
Cosalá,MX,4012707,1648790161,24.4125,-106.6908,86,overcast clouds,63.43,61.63,63.43,63.43,46,10000,2.3
Wawa,NG,2319078,1648790161,9.9022,4.4192,87,overcast clouds,81.54,84.65,81.54,81.54,65,10000,6.4
Mokhsogollokh,RU,2019867,1648790162,61.4681,128.9203,99,overcast clouds,28.17,22.96,28.17,28.17,83,10000,4.61
Taltal,CL,3870243,1648789980,-25.4,-70.4833,0,clear sky,62.83,62.49,62.83,62.83,78,10000,1.12
Kargil,IN,1267776,1648790162,34.5667,76.1,3,clear sky,28.24,28.24,28.24,28.24,54,10000,1.88
Alindao,CF,240999,1648790163,5.0267,21.2088,51,broken clouds,78.04,78.28,78.04,78.04,58,10000,1.7
Finnsnes,NO,3157549,1648790163,69.2296,17.9811,100,light snow,23.61,16.75,23.61,23.61,93,1677,5.46
Lircay,PE,3928317,1648790163,-12.9896,-74.7205,100,overcast clouds,46.96,45.99,46.96,46.96,92,10000,3.27
Tucuruí,BR,3385935,1648790164,-3.7661,-49.6725,100,overcast clouds,72.12,73.54,72.12,72.12,96,10000,1.61
Pokhara,NP,1282898,1648789991,28.2333,83.9833,36,scattered clouds,83.44,83.21,83.44,83.44,43,10000,6.85
Dudinka,RU,1507116,1648790164,69.4058,86.1778,100,overcast clouds,13.62,1.02,13.62,13.62,93,10000,10.18
Kurumkan,RU,2021188,1648790165,54.3,110.3,99,overcast clouds,31.06,27.14,31.06,31.06,93,3535,3.87
Ertil',RU,563420,1648790165,51.8406,40.8056,100,light rain,39.63,33.69,39.63,39.63,96,10000,8.9
Richards Bay,ZA,962367,1648789800,-28.783,32.0377,1,clear sky,70.07,70.83,70.07,70.07,86,10000,4.43
Nishihara,JP,1855342,1648790166,26.1842,127.7558,100,overcast clouds,71.1,70.95,68.68,72.68,65,10000,20.71
Bontang,ID,1648186,1648790166,0.1333,117.5,55,broken clouds,82.24,88.59,82.24,82.24,77,10000,7.45
Caraballeda,VE,3646767,1648790166,10.6112,-66.8522,40,scattered clouds,78.37,79.61,75.27,78.37,79,10000,0.0
Umluj,SA,100926,1648790167,25.0213,37.2685,92,overcast clouds,77.0,77.13,77.0,77.0,58,10000,5.57
Erzin,TR,296852,1648790167,36.9559,36.2,77,broken clouds,63.18,61.88,63.18,63.18,57,10000,4.92
Hofn,IS,2630299,1648790168,64.2539,-15.2082,100,overcast clouds,39.42,36.01,39.42,39.42,64,10000,4.72
Vermillion,US,5232592,1648790168,42.7794,-96.9292,35,scattered clouds,27.64,23.25,25.81,30.7,64,10000,3.83
Hermiston,US,5731070,1648790158,45.8404,-119.2895,0,clear sky,44.58,39.18,39.24,50.65,62,10000,10.36
Corrales,US,5463237,1648790035,35.2378,-106.6067,82,broken clouds,52.18,49.53,46.26,54.27,52,10000,18.01
Vung Tau,VN,1562414,1648790169,10.346,107.0843,46,scattered clouds,83.73,90.21,83.73,83.73,71,10000,13.71
Severnyy,RU,496358,1648790169,50.677,36.5532,75,broken clouds,48.24,45.19,48.24,48.24,76,10000,6.71
Meulaboh,ID,1214488,1648789827,4.1363,96.1285,70,broken clouds,84.69,90.59,84.69,84.69,66,10000,3.83
Maumere,ID,1635815,1648790170,-8.6199,122.2111,6,clear sky,85.03,91.65,85.03,85.03,67,10000,3.78
Cotonou,BJ,2394819,1648790170,6.3654,2.4183,72,broken clouds,81.81,89.31,81.81,81.81,84,10000,11.1
Corrientes,AR,3435217,1648790170,-27.4806,-58.8341,4,clear sky,55.29,54.09,55.29,55.29,76,10000,5.73
Östersund,SE,2685750,1648790171,63.1792,14.6357,0,clear sky,14.45,8.67,13.6,14.45,92,10000,3.44
Iwanai,JP,2129868,1648790171,42.9744,140.5089,97,overcast clouds,36.05,27.12,36.05,36.05,56,10000,14.0
Nizhnevartovsk,RU,1497543,1648790172,60.9344,76.5531,0,clear sky,24.82,15.44,24.03,24.82,54,10000,8.99
Heinola,FI,658288,1648790172,61.2056,26.0381,72,broken clouds,19.0,19.0,19.0,19.0,96,10000,2.48
Ubari,LY,2219235,1648790172,26.5921,12.7805,98,overcast clouds,65.73,63.14,65.73,65.73,24,10000,7.96
Boende,CD,218680,1648789808,-0.2167,20.8667,90,overcast clouds,72.66,73.15,72.66,72.66,75,10000,2.62
Morant Bay,JM,3489440,1648790173,17.8815,-76.4093,21,few clouds,73.71,74.68,73.71,73.71,83,10000,10.83
Talara,PE,3691582,1648790173,-4.5772,-81.2719,69,broken clouds,73.22,73.96,73.22,73.22,79,10000,13.02
Half Moon Bay,US,5354943,1648790120,37.4636,-122.4286,0,clear sky,49.86,46.56,46.85,55.35,81,10000,8.05
